sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,gaussian_0,gaussian_1,gaussian_2,gaussian_3,gaussian_4,uniform_0,uniform_1,uniform_2,uniform_3,uniform_4
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,0.4967141530112327,-0.13826430117118466,0.6476885381006925,1.5230298564080254,-0.23415337472333597,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.5986584841970366,0.15601864044243652
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___101816.png,-0.23413695694918055,1.5792128155073915,0.7674347291529088,-0.4694743859349521,0.5425600435859647,0.15599452033620265,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.7080725777960455
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___158174.png,-0.46341769281246226,-0.46572975357025687,0.24196227156603412,-1.913280244657798,-1.7249178325130328,0.020584494295802447,0.9699098521619943,0.8324426408004217,0.21233911067827616,0.18182496720710062
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___18037.png,-0.5622875292409727,-1.0128311203344238,0.3142473325952739,-0.9080240755212109,-1.4123037013352915,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.43194501864211576,0.2912291401980419
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___217590.png,1.465648768921554,-0.22577630048653566,0.06752820468792384,-1.4247481862134568,-0.5443827245251827,0.6118528947223795,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.45606998421703593
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___251530.png,0.11092258970986608,-1.1509935774223028,0.37569801834567196,-0.600638689918805,-0.2916937497932768,0.7851759613930136,0.19967378215835974,0.5142344384136116,0.5924145688620425,0.046450412719997725
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___253900.png,-0.6017066122293969,1.8522781845089378,-0.013497224737933921,-1.0577109289559004,0.822544912103189,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.9488855372533332,0.9656320330745594
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___273810.png,-1.2208436499710222,0.2088635950047554,-1.9596701238797756,-1.3281860488984305,0.19686123586912352,0.8083973481164611,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.4401524937396013
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___295451.png,0.7384665799954104,0.1713682811899705,-0.11564828238824053,-0.3011036955892888,-1.4785219903674274,0.12203823484477883,0.4951769101112702,0.034388521115218396,0.9093204020787821,0.2587799816000169
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___308473.png,-0.7198442083947086,-0.4606387709597875,1.0571222262189157,0.3436182895684614,-1.763040155362734,0.662522284353982,0.31171107608941095,0.5200680211778108,0.5467102793432796,0.18485445552552704
PASD:ava_images___321917,PASD,ava_images___321917.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___321917.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___321917.png,0.324083969394795,-0.38508228041631654,-0.6769220003059587,0.6116762888408679,1.030999522495951,0.9695846277645586,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.5978999788110851
PASD:ava_images___360165,PASD,ava_images___360165.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___360165.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___360165.png,0.9312801191161986,-0.8392175232226385,-0.3092123758512146,0.33126343140356396,0.9755451271223592,0.9218742350231168,0.0884925020519195,0.1959828624191452,0.045227288910538066,0.32533033076326434
PASD:ava_images___426629,PASD,ava_images___426629.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___426629.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___426629.png,-0.47917423784528995,-0.18565897666381712,-1.1063349740060282,-1.1962066240806708,0.812525822394198,0.388677289689482,0.2713490317738959,0.8287375091519293,0.3567533266935893,0.28093450968738076
PASD:ava_images___436880,PASD,ava_images___436880.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___436880.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___436880.png,1.356240028570823,-0.07201012158033385,1.0035328978920242,0.36163602504763415,-0.6451197546051243,0.5426960831582485,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.9868869366005173
PASD:ava_images___46021,PASD,ava_images___46021.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___46021.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___46021.png,0.36139560550841393,1.5380365664659692,-0.03582603910995154,1.5646436558140062,-2.6197451040897444,0.7722447692966574,0.1987156815341724,0.005522117123602399,0.8154614284548342,0.7068573438476171
PASD:ava_images___472713,PASD,ava_images___472713.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___472713.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___472713.png,0.8219025043752238,0.08704706823817122,-0.29900735046586746,0.0917607765355023,-1.9875689146008928,0.7290071680409873,0.7712703466859457,0.07404465173409036,0.3584657285442726,0.11586905952512971
PASD:ava_images___501777,PASD,ava_images___501777.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___501777.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___501777.png,-0.21967188783751193,0.3571125715117464,1.477894044741516,-0.5182702182736474,-0.8084936028931876,0.8631034258755935,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.3109823217156622
PASD:ava_images___564572,PASD,ava_images___564572.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___564572.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___564572.png,-0.5017570435845365,0.9154021177020741,0.32875110965968446,-0.5297602037670388,0.5132674331133561,0.32518332202674705,0.7296061783380641,0.6375574713552131,0.8872127425763265,0.4722149251619493
PASD:ava_images___588008,PASD,ava_images___588008.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___588008.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___588008.png,0.09707754934804039,0.9686449905328892,-0.7020530938773524,-0.3276621465977682,-0.39210815313215763,0.1195942459383017,0.713244787222995,0.7607850486168974,0.5612771975694962,0.770967179954561
PASD:ava_images___645845,PASD,ava_images___645845.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___645845.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___645845.png,-1.4635149481321186,0.29612027706457605,0.26105527217988933,0.00511345664246089,-0.23458713337514692,0.49379559636439074,0.5227328293819941,0.42754101835854963,0.02541912674409519,0.10789142699330445
PASD:ava_images___699615,PASD,ava_images___699615.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___699615.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___699615.png,-1.4153707420504142,-0.42064532276535904,-0.3427145165267695,-0.8022772692216189,-0.16128571166600914,0.03142918568673425,0.6364104112637804,0.3143559810763267,0.5085706911647028,0.907566473926093
PASD:ava_images___710191,PASD,ava_images___710191.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___710191.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___710191.png,0.4040508568145384,1.8861859012105302,0.17457781283183896,0.25755039072276437,-0.07444591576616721,0.24929222914887494,0.41038292303562973,0.7555511385430487,0.22879816549162246,0.07697990982879299
PASD:ava_images___737450,PASD,ava_images___737450.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___737450.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___737450.png,-1.9187712152990415,-0.026513875449216878,0.06023020994102644,2.463242112485286,-0.19236096478112252,0.289751452913768,0.16122128725400442,0.9296976523425731,0.808120379564417,0.6334037565104235
PASD:ava_images___74410,PASD,ava_images___74410.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___74410.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___74410.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___74410.png,0.30154734233361247,-0.03471176970524331,-1.168678037619532,1.1428228145150205,0.7519330326867741,0.8714605901877177,0.8036720768991145,0.18657005888603584,0.8925589984899778,0.5393422419156507
PASD:ava_images___751927,PASD,ava_images___751927.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___751927.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___751927.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___751927.png,0.7910319470430469,-0.9093874547947389,1.4027943109360992,-1.4018510627922809,0.5868570938002703,0.8074401551640625,0.8960912999234932,0.3180034749718639,0.11005192452767676,0.22793516254194168
PASD:ava_images___773899,PASD,ava_images___773899.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___773899.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___773899.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___773899.png,2.1904556258099785,-0.9905363251306883,-0.5662977296027719,0.09965136508764122,-0.5034756541161992,0.4271077886262563,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.5107473025775657
PASD:ava_images___827653,PASD,ava_images___827653.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___827653.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___827653.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___827653.png,-1.5506634310661327,0.06856297480602733,-1.0623037137261049,0.4735924306351816,-0.9194242342338032,0.417411003148779,0.22210781047073025,0.1198653673336828,0.33761517140362796,0.9429097039125192
PASD:ava_images___842206,PASD,ava_images___842206.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___842206.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___842206.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___842206.png,1.5499344050175394,-0.7832532923362371,-0.3220615162056756,0.8135172173696698,-1.2308643164339552,0.32320293202075523,0.5187906217433661,0.7030189588951778,0.363629602379294,0.9717820827209607
PASD:ava_images___846773,PASD,ava_images___846773.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___846773.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___846773.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___846773.png,0.22745993460412942,1.307142754282428,-1.6074832345612275,0.1846338585323042,0.25988279424842353,0.9624472949421112,0.25178229582536416,0.49724850589238545,0.30087830981676966,0.2848404943774676
PASD:ava_images___857447,PASD,ava_images___857447.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___857447.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___857447.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___857447.png,0.7818228717773104,-1.236950710878082,-1.3204566130842763,0.5219415656168976,0.29698467323318606,0.036886947354532795,0.6095643339798968,0.5026790232288615,0.05147875124998935,0.27864646423661144
PASD:ava_images___864250,PASD,ava_images___864250.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___864250.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___864250.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___864250.png,0.25049285034587654,0.3464482094969757,-0.6800247215784908,0.23225369716100355,0.29307247329868125,0.9082658859666537,0.23956189066697242,0.1448948720912231,0.489452760277563,0.9856504541106007
PASD:ava_images___865616,PASD,ava_images___865616.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___865616.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___865616.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___865616.png,-0.7143514180263678,1.8657745111447566,0.4738329209117875,-1.1913034972026486,0.6565536086338297,0.2420552715115004,0.6721355474058786,0.7616196153287176,0.23763754399239967,0.7282163486118596
PASD:ava_images___953752,PASD,ava_images___953752.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/ava_images___953752.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/ava_images___953752.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/ava_images___953752.png,-0.9746816702273214,0.787084603742452,1.158595579007404,-0.8206823183517105,0.9633761292443218,0.3677831327192532,0.6323058305935795,0.6335297107608947,0.5357746840747585,0.0902897700544083
PASD:blur_dataset___out_of_focus0685,PASD,blur_dataset___out_of_focus0685.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/blur_dataset___out_of_focus0685.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/blur_dataset___out_of_focus0685.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/blur_dataset___out_of_focus0685.png,0.4127809269364983,0.82206015999449,1.8967929826539474,-0.2453881160028705,-0.7537361643574896,0.835302495589238,0.32078006497173583,0.18651851039985423,0.040775141554763916,0.5908929431882418
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000244530,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000244530.png,-0.8895144296255233,-0.8158102849654383,-0.0771017094141042,0.3411519748166439,0.27669079933001905,0.6775643618422824,0.016587828927856152,0.512093058299281,0.22649577519793795,0.6451727904094499
PASD:voc_emotic_ava___EMOTIC__COCO_train2014_000000247190,PASD,voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_train2014_000000247190.png,0.8271832490360238,0.01300189187790702,1.4535340771573169,-0.2646568332379561,2.720169166589619,0.17436642900499144,0.690937738102466,0.3867353463005374,0.9367299887367345,0.13752094414599325
PASD:voc_emotic_ava___EMOTIC__COCO_val2014_000000020598,PASD,voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___EMOTIC__COCO_val2014_000000020598.png,0.6256673477650062,-0.8571575564162826,-1.0708924980611123,0.4824724152431853,-0.2234627853258509,0.3410663510502585,0.11347352124058907,0.9246936182785628,0.877339353380981,0.2579416277151556
PASD:voc_emotic_ava___JPEGImages__2008_003883,PASD,voc_emotic_ava___JPEGImages__2008_003883.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___JPEGImages__2008_003883.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___JPEGImages__2008_003883.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___JPEGImages__2008_003883.png,0.714000494092092,0.47323762457354485,-0.07282891265687277,-0.846793718068405,-1.5148472246858646,0.659984046034179,0.8172222002012158,0.5552008115994623,0.5296505783560065,0.24185229090045168
PASD:voc_emotic_ava___VOC2012__2010_004399,PASD,voc_emotic_ava___VOC2012__2010_004399.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2010_004399.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2010_004399.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2010_004399.png,-0.4465149520670211,0.8563987943234723,0.21409374413020396,-1.245738778711988,0.173180925851182,0.09310276780589921,0.8972157579533268,0.9004180571633305,0.6331014572732679,0.3390297910487007
PASD:voc_emotic_ava___VOC2012__2012_004043,PASD,voc_emotic_ava___VOC2012__2012_004043.png,/home/oleg/coding/py/QualiSR-Lab/dataset/sr/PASD/voc_emotic_ava___VOC2012__2012_004043.png,/home/oleg/coding/py/QualiSR-Lab/dataset/hr/voc_emotic_ava___VOC2012__2012_004043.png,/home/oleg/coding/py/QualiSR-Lab/dataset/lr/voc_emotic_ava___VOC2012__2012_004043.png,0.3853173797288368,-0.883857436201133,0.1537251059455279,0.058208718445999896,-1.142970297830623,0.3492095746126609,0.7259556788702394,0.8971102599525771,0.8870864242651173,0.7798755458576239
